Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
Date,,,,,,,,
2020-08-03,11246.3486328125,11246.3486328125,11453.0791015625,11012.4150390625,11043.7685546875,20271713443,0.017436321777176023,1.2289221052209223
2020-08-04,11205.892578125,11205.892578125,11385.3818359375,11094.1455078125,11246.203125,21250197042,-0.00359726129861071,1.2245013512928038
2020-08-05,11747.0224609375,11747.0224609375,11786.6171875,11158.28515625,11203.8232421875,24411254471,0.04828976175167332,1.2836322298113354
2020-08-06,11779.7734375,11779.7734375,11902.3359375,11598.7138671875,11749.87109375,23400740340,0.002788023660583505,1.287211026839537
2020-08-07,11601.47265625,11601.47265625,11898.0380859375,11408.59375,11778.89453125,23132312867,-0.01513618086086388,1.2677275679311955
2020-08-08,11754.0458984375,11754.0458984375,11800.064453125,11558.431640625,11604.5537109375,17572057837,0.013151196120374076,1.2843997018042634
2020-08-09,11675.7392578125,11675.7392578125,11806.056640625,11548.7841796875,11737.3251953125,17489608833,-0.006662100973708895,1.275842901300242
2020-08-10,11878.111328125,11878.111328125,12045.140625,11662.2568359375,11662.2568359375,26114112569,0.017332698670629254,1.2979567018595404
2020-08-11,11410.525390625,11410.525390625,11932.7109375,11195.708984375,11881.6474609375,27039782640,-0.03936534391564839,1.2468621899032188
2020-08-12,11584.9345703125,11584.9345703125,11748.396484375,11249.60546875,11404.5966796875,25064548486,0.015284938573538076,1.2659204018855568
2020-08-13,11784.1376953125,11784.1376953125,11796.396484375,11216.8720703125,11588.4052734375,27522199497,0.017195015111304723,1.2876879223256879
2020-08-14,11768.87109375,11768.87109375,12150.994140625,11685.455078125,11772.6591796875,24237958589,-0.0012955213149429268,1.2860196951753204
2020-08-15,11865.6982421875,11865.6982421875,11963.203125,11768.697265625,11768.697265625,23354924400,0.008227394765919493,1.2966002868842752
2020-08-16,11892.8037109375,11892.8037109375,11934.9013671875,11737.1884765625,11866.685546875,20583375490,0.0022843551383793237,1.2995621824120434
2020-08-17,12254.40234375,12254.40234375,12359.056640625,11806.6962890625,11895.658203125,28227687027,0.03040482644811049,1.3390751450268092
2020-08-18,11991.2333984375,11991.2333984375,12335.70703125,11954.525390625,12251.8955078125,26043227672,-0.021475461465219614,1.3103178883507527
2020-08-19,11758.283203125,11758.283203125,12028.923828125,11687.3330078125,11990.884765625,24502851117,-0.019426708460436926,1.2848627247432673
2020-08-20,11878.3720703125,11878.3720703125,11900.4111328125,11710.0634765625,11761.5,20175242945,0.01021312934149976,1.297985193937142
2020-08-21,11592.4892578125,11592.4892578125,11899.259765625,11564.9794921875,11878.0263671875,23762425999,-0.024067507803910648,1.2667459251526993
2020-08-22,11681.8251953125,11681.8251953125,11689.4072265625,11448.8056640625,11585.4775390625,20224191306,0.007706363621583279,1.276507929868085
2020-08-23,11664.84765625,11664.84765625,11713.4296875,11559.9208984375,11679.6962890625,18482062658,-0.0014533293195752028,1.2746527434669375
2020-08-24,11774.595703125,11774.595703125,11807.6318359375,11623.25,11663.689453125,20681511755,0.00940844236539995,1.286645240339745
2020-08-25,11366.134765625,11366.134765625,11778.2998046875,11189.8505859375,11773.5888671875,26301509932,-0.034690018052305094,1.242011493725447
2020-08-26,11488.36328125,11488.36328125,11530.052734375,11296.9931640625,11366.89453125,22466660958,0.010753745063331488,1.255367768694698
2020-08-27,11323.3974609375,11323.3974609375,11570.7861328125,11185.94140625,11485.6083984375,23240415076,-0.01435938403704018,1.2373414607962887
2020-08-28,11542.5,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588,0.01934954061432026,1.2612834496457488
2020-08-29,11506.865234375,11506.865234375,11585.640625,11466.29296875,11541.0546875,17485597759,-0.0030872658111327222,1.25738953237351
2020-08-30,11711.505859375,11711.505859375,11715.2646484375,11492.3818359375,11508.7138671875,19760127945,0.017784220187846422,1.2797512246791338
2020-08-31,11680.8203125,11680.8203125,11768.876953125,11598.318359375,11713.306640625,22285928250,-0.0026201196706430174,1.2763981233218225
2020-09-01,11970.478515625,11970.478515625,12067.0810546875,11601.12890625,11679.31640625,27311555343,0.024797762089964426,1.3080499403160342
2020-09-02,11414.0341796875,11414.0341796875,11964.8232421875,11290.7939453125,11964.8232421875,28037405299,-0.04648471948812871,1.2472456057639798
2020-09-03,10245.296875,10245.296875,11443.0224609375,10182.46484375,11407.19140625,31927261555,-0.10239476124641311,1.1195341897461393
2020-09-04,10511.8134765625,10511.8134765625,10663.919921875,10207.9404296875,10230.365234375,29965130374,0.02601355576262887,1.14865725481927
2020-09-05,10169.5673828125,10169.5673828125,10581.5712890625,9946.67578125,10512.5302734375,44916565292,-0.03255823502891142,1.1112590019492
2020-09-06,10280.3515625,10280.3515625,10353.927734375,10056.8857421875,10167.216796875,37071460174,0.010893696409813414,1.1233647201491068
2020-09-07,10369.5634765625,10369.5634765625,10399.1533203125,9916.4931640625,10280.998046875,33703098409,0.00867790498409815,1.1331131724530488
2020-09-08,10131.5166015625,10131.5166015625,10414.775390625,9945.1103515625,10369.306640625,33430927462,-0.022956306264775628,1.107101079433565
2020-09-09,10242.34765625,10242.34765625,10350.54296875,10017.2509765625,10134.1513671875,24128292755,0.010939236349907233,1.1192119198047261
2020-09-10,10363.138671875,10363.138671875,10503.912109375,10238.1357421875,10242.330078125,54406443211,0.011793293850096198,1.1324111148555136
2020-09-11,10400.9150390625,10400.9150390625,10434.9228515625,10140.8369140625,10369.0283203125,45201121775,0.0036452631180188266,1.136539051326931
2020-09-12,10442.1708984375,10442.1708984375,10578.837890625,10292.38671875,10409.861328125,36750077324,0.003966560559340859,1.141047202302075
2020-09-13,10323.755859375,10323.755859375,10577.21484375,10224.330078125,10452.3994140625,36506852789,-0.011340078630605377,1.1281076373067371
2020-09-14,10680.837890625,10680.837890625,10800.0107421875,10266.0087890625,10328.734375,35453581940,0.0345883839286778,1.1671270573787762
2020-09-15,10796.951171875,10796.951171875,10938.6318359375,10656.4599609375,10677.7548828125,32509451925,0.010871177190313608,1.1798151024231502
2020-09-16,10974.9052734375,10974.9052734375,11100.1240234375,10704.884765625,10797.76171875,30769986455,0.01648188444401355,1.1992606786065907
2020-09-17,10948.990234375,10948.990234375,11037.4208984375,10774.6279296875,10973.251953125,38151810523,-0.0023612995663134795,1.1964288648863002
2020-09-18,10944.5859375,10944.5859375,11034.908203125,10829.6572265625,10951.8203125,26341903912,-0.00040225598714782596,1.195947594212203
2020-09-19,11094.3466796875,11094.3466796875,11134.0927734375,10909.6181640625,10933.7529296875,22764204008,0.013683545731443925,1.212312397810016
2020-09-20,10938.271484375,10938.271484375,11095.8701171875,10814.4775390625,11095.8701171875,24699523788,-0.014067993350005525,1.1952575950594955
2020-09-21,10462.259765625,10462.259765625,10988.3046875,10380.2607421875,10934.92578125,28884999244,-0.04351800185522625,1.143242372820223
2020-09-22,10538.4599609375,10538.4599609375,10568.0771484375,10382.7265625,10459.6240234375,23621787804,0.0072833400259153525,1.151568995753507
2020-09-23,10246.1865234375,10246.1865234375,10537.828125,10197.865234375,10535.4921875,23788661867,-0.027733979972724532,1.1196314042880686
