Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,FXAIX,FXAIX,FXAIX,FXAIX,FXAIX,FXAIX,,
Date,,,,,,,,
2020-07-17,104.60179901123047,111.87000274658203,111.87000274658203,111.87000274658203,111.87000274658203,0,,
2020-07-20,105.48072052001953,112.80999755859375,112.80999755859375,112.80999755859375,112.80999755859375,0,0.008402546773547348,1.0084025467735473
2020-07-21,105.65837860107422,113.0,113.0,113.0,113.0,0,0.0016842706437616428,1.0101009695801726
2020-07-22,106.2755126953125,113.66000366210938,113.66000366210938,113.66000366210938,113.66000366210938,0,0.005840843882039426,1.016000811648587
2020-07-23,104.9664535522461,112.26000213623047,112.26000213623047,112.26000213623047,112.26000213623047,0,-0.0123175989451062,1.0034861211227974
2020-07-24,104.32129669189453,111.56999969482422,111.56999969482422,111.56999969482422,111.56999969482422,0,-0.006146314736931058,0.9973183795882347
2020-07-27,105.09737396240234,112.4000015258789,112.4000015258789,112.4000015258789,112.4000015258789,0,0.0074392985432294445,1.0047377287566415
2020-07-28,104.4147720336914,111.66999816894531,111.66999816894531,111.66999816894531,111.66999816894531,0,-0.006494947523190575,0.9982120099337974
2020-07-29,105.7144775390625,113.05999755859375,113.05999755859375,113.05999755859375,113.05999755859375,0,0.012447525192620379,1.0106372790750247
2020-07-30,105.33111572265625,112.6500015258789,112.6500015258789,112.6500015258789,112.6500015258789,0,-0.003626388980303985,1.0069723151831025
2020-07-31,106.15393829345703,113.52999877929688,113.52999877929688,113.52999877929688,113.52999877929688,0,0.007811771148112934,1.0148385524617984
2020-08-03,106.92069244384766,114.3499984741211,114.3499984741211,114.3499984741211,114.3499984741211,0,0.007223040074791909,1.0221687719956738
2020-08-04,107.30403900146484,114.76000213623047,114.76000213623047,114.76000213623047,114.76000213623047,0,0.003585335530991829,1.0258335900125801
2020-08-05,107.9959487915039,115.5,115.5,115.5,115.5,0,0.006448124380757259,1.03244829259494
